ImageID,JarID,MaxFeretDiamPix,MaxFeretDiamum,MorphNotes,PerimeterPix,Perimeterum,SurfaceAreaPix2,SurfaceAreaum2
2,J088_B1,690.0579686,77.7092307,,2166.512,243.9765766,319554,4052.456172
3,J088_B1,677.9970501,76.35101916,,2118.526,238.5727477,308437,3911.474819
4,J088_B1,690.2941402,77.7358266,,2191.724,246.8157658,334942,4247.600641
5,J088_B1,661.8194618,74.52921867,,2056.374,231.5736486,293931,3727.515522
6,J088_B1,670.0358199,75.45448422,,2110.168,237.6315315,312398,3961.706639
7,J088_B1,671.4238602,75.61079507,,2053.902,231.2952703,294332,3732.600844
8,J088_B1,651.502878,73.36744122,,2034.41,229.1002252,289957,3677.118842
9,J088_B1,603.3837916,67.94862518,,1868.094,210.3709459,244632,3102.325298
10,J088_B1,650.7165281,73.2788883,,2008.31,226.161036,284798,3611.694465
1,J091_B1,676.7045145,76.20546334,,2110.92,237.7162162,313056,3970.051132
2,J091_B1,667.6593443,75.1868631,,2114.998,238.1754505,311790,3953.996226
3,J091_B1,665.7634715,74.97336391,,2057.646,231.7168919,300221,3807.28279
4,J091_B1,607.7441896,68.43966099,,1921.024,216.3315315,259600,3292.143495
5,J091_B1,689.1066681,77.60210226,,2175.748,245.0166667,335400,4253.408814
6,J091_B1,673.6839021,75.86530429,,2099.62,236.4436937,304942,3867.152626
7,J091_B1,637.8871374,71.83413709,,2044.086,230.1898649,288158,3654.304642
8,J091_B1,640.5154175,72.13011458,,2048.118,230.6439189,290920,3689.331223
9,J091_B1,650.2837842,73.23015588,,2047.036,230.5220721,292319,3707.072782
10,J091_B1,671.3404501,75.60140204,,2072.818,233.4254505,297453,3772.180119
1,J092_B1,669.1225598,75.35163962,,2097.622,236.2186937,309585,3926.033297
2,J092_B1,671.8050312,75.65371973,,2096.958,236.1439189,310159,3933.312536
3,J092_B1,676.2285117,76.15185943,,2016.322,227.0632883,284497,3607.877303
4,J092_B1,652.7641228,73.50947329,,2011.38,226.5067568,283018,3589.121216
5,J092_B1,669.0530622,75.34381331,,2074.678,233.6349099,303691,3851.287943
6,J092_B1,643.9580732,72.51780104,,2026.322,228.1894144,281895,3574.879778
7,J092_B1,617.0656367,69.4893735,,1937.724,218.2121622,265415,3365.887002
8,J092_B1,671.6263842,75.63360182,,2106.704,237.2414414,310289,3934.961144
9,J092_B1,656.6010966,73.94156493,,1987.252,223.7896396,280014,3551.025688
10,J092_B1,664.5487191,74.83656747,,2104.59,237.0033784,304528,3861.902443
1,J093_B1,538.0929288,60.59605054,,1675.318,188.6619369,197726,2507.482144
2,J093_B1,593.1214041,66.79295091,,1783.928,200.8927928,222379,2820.121642
4,J093_B1,546.5601522,61.54956669,,1740.73,196.0281532,214062,2714.64877
5,J093_B1,560.8029957,63.15349051,,1741.738,196.1416667,212423,2693.863627
6,J093_B1,595.9605692,67.11267671,,1802.82,203.0202703,226838,2876.668899
9,J093_B1,558.2517353,62.86618641,,1786.056,201.1324324,226702,2874.944201
11,J093_B1,602.0705939,67.80074256,,1841.954,207.4272523,237680,3014.162811
12,J093_B1,574.3561613,64.67974789,,1772.782,199.6376126,218375,2769.344513
13,J093_B1,588.2533468,66.24474626,,1811.66,204.0157658,229075,2905.037639
15,J093_B1,553.8321045,62.36848024,,1727.33,194.5191441,210442,2668.741377
1,J094_B1,652.1610231,73.44155666,,2052.68,231.1576577,296187,3756.125213
2,J094_B1,579.0759881,65.21125992,,1821.252,205.0959459,231665,2937.882984
3,J094_B1,689.9543463,77.69756152,,2182.334,245.7583333,326954,4146.300016
